id,author,author_id,author_thumbnail,text,like_count,reply_count,date,is_favorited
UgydRqpz2HZ8jZDZ6lt4AaABAg,@Monsterlab_k,UCiHJKtLc7Vu4oEv5IhFSNdA,https://yt3.ggpht.com/1zDwcUqdquHhthMhHLtswch1Wd_Qli8wgPGavgk5_nJDdVpIBalMT9zVJEDoOgz-M31Xw3TRAOA=s88-c-k-c0x00ffffff-no-rj,"📺Scp-2362가 게임 데드스페이스와 유사하다는 말씀들이 있어 이에 설명드립니다
우선 이번 이야기에서 등장하는 SCP-2632의 외형은
*SCP-2362-1은 13개의 얇은 촉수와 종 모양의 몸통을 가진 해파리와 닮은 푸른 생명체로, 알을 깨고 나온 뒤로는 바너드 별을 향해 열심히 헤엄치는 중이다
라는 SCP-2362 나무 위키 원문을 참고하여 만들었습니다
(원문 묘사에서 '푸른 생명체' 라는 부분이 원하는 이미지로 잘 나오지않아 '검은색' '검붉은 색' 으로 프롬프트를 바꾸어 진행하였습니다)

추가로, 결말 부분과 내용은
*해왕성 바깥 천체들 중 하우메아, 에리스, 마케마케 역시 SCP-2362와 유사한 유기물로 구성되어 있음이 밝혀졌다고 한다. 이 행성들도 사실 SCP-2362-1과 유사한 생물체를 품은 알일 수도 있다는 것
SCP-2362 나무 위키 원문 내용을 참고하여 이야기를 구성하였습니다

데드스페이스는 들어도 보고 잠깐 게임 플레이 방송도 보았지만 그 결말 내용은 알지 못하였습니다
하지만, 찾아보니 말씀대로 2362와 데드스페이스의 문의 디자인이 매우 유사하더군요..
+ 이제보니 위키 여담 글에도 데드 스페이스 시리즈의 브레드렌 문이 연상된다는 평가가 😅

앞으로 이러한 부분들 좀 더 신경쓰겠습니다
시청에 불편과 혼란을 드려 죄송합니다",438,0,2025-08-23 09:00:00,False
UgzKbRaxK_4RG8f7Okh4AaABAg,@rossobenny5137,UCYNQKIOuHZ2hmhCgdyCuxCw,https://yt3.ggpht.com/ytc/AIdro_kkBIkbNYBUhgndGVemyO6KMeAn53XcIPw5ACRfQH98uI0=s88-c-k-c0x00ffffff-no-rj,가장 역대급으로 충격적인 SCP,16,0,2026-03-23 09:00:00,False
UgzHVlO1XJ4Bm0PGDRJ4AaABAg,@hellpte5960,UCVm9OaCt0fF19kctX2WNk0A,https://yt3.ggpht.com/ytc/AIdro_klE0c-oQg1BsFgJyA2Eku4LlJ2dtL23jFSAPWw--uWKBg=s88-c-k-c0x00ffffff-no-rj,그야말로 코스믹 호러란 이런 것이라고 말한느 것처럼 보이네요.,11,0,2026-03-23 09:00:00,False
Ugxc8N2I_D0fdD_TDOl4AaABAg,@지죠때로-d4u,UC2dsdr753QUPjel8IIytjEA,https://yt3.ggpht.com/ytc/AIdro_lbpfOC9I8qLiOVcpkqVGISdiSIIKblr7zkprr7zVhB1cV6PVM=s88-c-k-c0x00ffffff-no-rj,마지막 제기랄 하고 방향을 튼게 지구라서 그랬나,4,0,2026-03-23 09:00:00,False
UgzAeGEoR0Y5AUSnTqh4AaABAg,@Ina_7,UCLX0MbuAKg4jtWXfJeGL_Ng,https://yt3.ggpht.com/BkCvIavEsGfa6_Oh_2SlipV9UwYaYKU8XqBTc0MSDS7m8EQJMg6Mehmo7kwzOOBlUp4dbkB7fyc=s88-c-k-c0x00ffffff-no-rj,대본이랑 영상 퀄이 진짜 말도안된다… 영상 구성 너무 좋음,3,0,2025-10-23 09:00:00,True
UgzeClNMkF6GN0fhnZR4AaABAg,@Hongfrenchfries,UC0TMZBS9k-TcvBaK93MtAPA,https://yt3.ggpht.com/yGUHFqzRvrlJ6Yh2iSIvPXlEgKauUtpjFkzVfsbMsnyucMkYxLSvzBX5kzQ04wK4bh37iLLxtQ=s88-c-k-c0x00ffffff-no-rj,개소름돋음;;;,2,0,2025-11-23 09:00:00,False
UgzjZgfIUrA6CToNVax4AaABAg,@기도-b3d,UCP67gbcbsf8zyfTodWBVXkQ,https://yt3.ggpht.com/b-NBZOfOba8TJkZE7tqlBcqz2NIDMYl5XSTtf9ugE7XVIne-QJDGKKqfh0iFFo2LG7shnFQAuA=s88-c-k-c0x00ffffff-no-rj,차피 상상생물인데 저렇게해야하나 재밌으면 된거지뭐,1,0,2026-06-23 09:00:00,False
UgyPKoIgAxBXFcNwKch4AaABAg,@gjs-d4x,UCor5fM0xS7d8QFiGfojg07g,https://yt3.ggpht.com/ytc/AIdro_n-xdMPt15Uf5d3O0ddOhZZsKb6mCO13rL5bNsX6I6S6p0QPZzd2sV8xLSInXuZri5Maw=s88-c-k-c0x00ffffff-no-rj,설마.. 오버로드????(하늘을 떠다니는 오버로드야~~),1,0,2026-05-23 09:00:00,False
UgxozKLAzCu95BNO3n14AaABAg,@바르바로사-o8t,UC_91aFzg9mDGV9jFihfG2dA,https://yt3.ggpht.com/ytc/AIdro_lbpfOC9I8qLiOVcpkqVGISdiSIIKblr7zkprr7zVhB1cV6PVM=s88-c-k-c0x00ffffff-no-rj,촉수의 직경이 수백미터가 아니라 수백킬로미터여야겠는데 ㅋㅋㅋ,1,0,2026-04-23 09:00:00,False
Ugy9M27UFw0Z_YLafqh4AaABAg,@Loiguy,UCvmJioDnWc23C5CViv1sKEw,https://yt3.ggpht.com/ytc/AIdro_kx1S6OCnuVxADs8_eeF8cmwtZB-2mv9KkoBLbifF3_VKFhmKemilEL1SeVcrFS-c7LGQ=s88-c-k-c0x00ffffff-no-rj,잘 자는데 모기가 물면 때려잡고 다시 자잖아. 그거랑 같은. '어랏? 모기가 아니네? 이거 누가 보냈냐? 이쪽이야?' 하고 지구 반대편으로 가서 엉뚱한 넘 하나 담가버린거 아닐까.,1,0,2026-03-23 09:00:00,False
