id,author,author_id,author_thumbnail,text,like_count,reply_count,date,is_favorited
UgzbApCm1MJ2wm52oFd4AaABAg,@helloiamwoninicetomeetyou,UCWpY0eSJtyO-qNAPbKFRSSg,https://yt3.ggpht.com/Tld6Cnuf5Q5Eb2d0GcGGiKF1AoKDw_pCboT5-gMyvkLo8rsh19_BJ6D-J8lCt9wJEFTYaN26IQ=s88-c-k-c0x00ffffff-no-rj,Amor Fati !,22000,0,2026-06-23 09:00:00,False
Ugx2EpD0YFUYb7leFPF4AaABAg,@rokmc1025,UCLhNDxJMjfRS_jeNljehJWQ,https://yt3.ggpht.com/zGMggUFNu_XdBoqIbF86jPWZebTjizDOyVQFI6csGgMTYkv6aMFyErD4Au9o5wQlK6wAOYo3HA=s88-c-k-c0x00ffffff-no-rj,😢 거제 현재 폭우로 피해가 심각하다던데 아무쪼록 빠른 복구가 되길 바랍니다.,43,0,2026-08-18 09:00:00,False
Ugwonqk7Uv8CmzVjRc94AaABAg,@DoYa-f7h,UCdm5dZSPuCPbe0tJVNnd-VA,https://yt3.ggpht.com/ytc/AIdro_koRtQTuIwjQ4FP3RZVg1uE66PaOdUeqFgH8lWkw-1bt37GjlJuRBJ7yTL7l5mFm3VeNQ=s88-c-k-c0x00ffffff-no-rj,거제에 폭우로 산사태까지 났다는데 걱정되요 ㅠㅠ,10,0,2026-08-18 09:00:00,False
UgzIeumS4fhuJgSf75d4AaABAg,@QifanKim,UCuFBonfNDK74_pBRVE2rzTg,https://yt3.ggpht.com/ytc/AIdro_kGtgwXajWpk0Iy5qLdgUUO7m7QNZLpFElpQpzRUX_wMhmlr3v-3CKiqG6u_fRNQHBWXw=s88-c-k-c0x00ffffff-no-rj,리센느를 늦게 알게 되고 빠지게 되면서 거제 시리즈를 아끼고 아끼고 아끼다가 이제 보는데 진짜 내 미래도 지금 불확실한데 진심으로 잘됐으면 좋겠다고 느끼는 아이돌은 난생 처음이다 지금껏 아이돌 이뻐서 좋아하고 귀여워서 좋아한 적은 있어도 보기만 해도 그냥 덩달아 나도 행복해지고 계속 행복했으면 좋겠다는 생각이 든 건 리센느가 첨이다... 이미 너무 잘되고 있지만 더 잘됐으면 좋겠다 리센느 파이팅!!,5,0,2026-08-22 09:00:00,False
Ugy8qD7Oe_KkijRNjrh4AaABAg,@이진수J,UCsNO_7hYEDdEGOxbQsf0BYA,https://yt3.ggpht.com/8hYm5Mwqth6QmYSctr3_CXNoTdJWPNLeRJAm24wNQtN3iQ3kMgULw5Lw_b97QwMk08myxM08UcM=s88-c-k-c0x00ffffff-no-rj,11:42 가영이가 나중에 솔로로 트로트 앨범 내기를 기원하는 의미에서 여기에 글 남깁니다!,4,0,2026-08-19 09:00:00,False
Ugyr9nhkIN6dfLOpckl4AaABAg,@Leah-w9t,UC0uqZxfEM_hFI_9Q0cYHcTw,https://yt3.ggpht.com/ytc/AIdro_lsLotc9PThZRLsTuCVR1PCb6FvbUkxzKuFCU7NyrLTfq0=s88-c-k-c0x00ffffff-no-rj,"제가 댓글을 잘 안달았지만 리센느 영상을 정말 열심히 찾아보고 있어요^^

근데 최근 17일 거제도 폭우로 큰 피해가 있었다는 뉴스를 보고 거제도 분들 너무너무 걱정돼서요 ㅠㅠ
원이님~ 부모님들 친지들 그리고 갸루랑 갔던 식당 아주머니분 등등 모두들 괜찮으신지 너무 궁금해요~~ 

알려주세요 ㅠㅠ~~~",4,0,2026-08-19 09:00:00,False
UgzTe2u5AMBaKA4mHtJ4AaABAg,@ggogi4331,UCFtFWZOcsDEeYGfpgyScpMw,https://yt3.ggpht.com/ytc/AIdro_mJUxkkmi665AmRCz4ilJfPTAan1TU452g2UM5ek9PklkcAAb7dnzzInZhXZe_Ftp4s2g=s88-c-k-c0x00ffffff-no-rj,"아모르파티 노래가 나온것도 진짜 개소름인데 저기서 미나미가 아모르파티 노래 나오자 바로 반응한것도 큰 몫했다생각.. 그리고 원이가 아모르파티 얘기하니 피디가 어~!한게 이 에피소드 어떻게 마무리할지 딱 생각났을듯. 아모르 파티를 이야기한 pd도, 인터뷰 마지막을 아모르파티로 끝낸 원이도, 아모르파티 노래에 자동 반응한 미나미도 다들 그냥 말도안되는.. 잘될사람들은 어떻게 해서든 잘되게 해준 것같다. 거기까지 미친 노력이 있었던거고",4,0,2026-08-18 09:00:00,False
UgxAewuAGj8hfd6F4E54AaABAg,@이예진-i3d,UCIy2bZJhiMtGb9UHlHpL8Zw,https://yt3.ggpht.com/ytc/AIdro_kCOxuETrJtj9QSXwp_GrjGLR_DgUN79XfrEuNfNN4=s88-c-k-c0x00ffffff-no-rj,아이돌채널 보는 것도 처음이고 구독도 처음이다 흥해라 너네,3,0,2026-08-22 08:00:00,False
UgxKG-C-XrFxGB8AsJd4AaABAg,@brandoncho8747,UC6Km5UoQ6AjbLUOLvfWh5fw,https://yt3.ggpht.com/ytc/AIdro_lpWwurRuCQq9EA9bYsAwKG-SiudKAJ45sHYGLCoDw=s88-c-k-c0x00ffffff-no-rj,"미국사는 이민 40년차 아재입니다.정말 오랜만에 사람 향기나는 이야기네요.
사람사는게 처음도 중요 하지만 끝날때까지 최선을 다해주세요",3,0,2026-08-22 09:00:00,False
Ugxh9wa8ssgYyF5kshZ4AaABAg,@김씨-s4u,UCYADOUHVe1QYZZKgxSKNpfQ,https://yt3.ggpht.com/3YientE0BgPtMKuQ4mbtKqb-abmZVt7fIA05EAA1R7eVgqPX3TgegAHroSBmBXVwggC7BAUrNw=s88-c-k-c0x00ffffff-no-rj,나보다 어린 쌤이 슈파스타  리센느를 모르노 ㅋㅋㅋ,3,0,2026-08-22 09:00:00,False
Ugwcf80ZUdfD9UNb3MB4AaABAg,@효기여,UCACeoA2DSJSCaYAI1tQWc8A,https://yt3.ggpht.com/ytc/AIdro_nE6x7va8MdaZ2iR2WkURFLUwf06pcLUwuSR3DhD2tl8sw=s88-c-k-c0x00ffffff-no-rj,저모토로라 핸드폰은ㅋㅋㅋㅋㅋ 진짜 어울린다,3,0,2026-08-22 09:00:00,False
Ugw6rVqjW3zUucDpkj94AaABAg,@느그메의문단속-w4z,UCWzKhsCnZnjCvu3be43okNQ,https://yt3.ggpht.com/jVwOSLBNcyzRyPfOlW2RB_FvYOKyaaqPEUbNEosm8-XV7XTICmr8_cYPTIjIovUMhx6EHS-6=s88-c-k-c0x00ffffff-no-rj,21:34 ㄹㅇ 여고딩 같네,3,0,2026-08-22 09:00:00,False
UgwgaVxFqEiVD66R7eR4AaABAg,@djemdslckdw,UCysxjaycR2yE77JQIogyx8Q,https://yt3.ggpht.com/ytc/AIdro_l6jnPiTQ-Wrq1Vl0Zp7whWmGl1m2CAE6VVtuQ91-xfXg=s88-c-k-c0x00ffffff-no-rj,아 진짜 원나미 케미가 환상적이네ㅋㅋ,3,0,2026-08-22 09:00:00,False
Ugy9wCZ_wmp6iZ_ob6N4AaABAg,@beaut_if_ul,UC9YeiBXYBecIjpVKq8dfiiQ,https://yt3.ggpht.com/ytc/AIdro_kHaW8Z3uXwI83EcCIr30_G0BxFzR13kqLi6O0epDRUBbFKcrlzQtJw1GAwojpPuyl88Q=s88-c-k-c0x00ffffff-no-rj,미나미 진짜 잘 한다,3,0,2026-08-22 09:00:00,False
UgzDrRwHUBLfgl_fvfd4AaABAg,@vinci0,UCiTvgcog8f6aOQiNEy5fuDw,https://yt3.ggpht.com/SZ9i6GXTHcZci0vyRfJyFxDFLKxl0J90WMlPHolL9BSATanO6a0tEA6DD0U3TBeYfzWqHG9f-w=s88-c-k-c0x00ffffff-no-rj,피디가 작가주의 제대로네,3,0,2026-08-22 09:00:00,False
UgzW9HTd-1IqIy-THep4AaABAg,@radian-m7k,UCm0Dqh3mwJz8eNrTZtY03Zw,https://yt3.ggpht.com/5Is9VCJ8lJZupILw-R28udY6_IQgDJnxUQCu2fxG2dAYNlpJUjun1qUPuNXA2vHIRHAv9GPZp_w=s88-c-k-c0x00ffffff-no-rj,뭔가 영상이 철학적인 냄새가 풀풀나.,3,0,2026-08-22 09:00:00,False
UgxU82LlHJ-FcXvxUY94AaABAg,@rentalkittynitty,UC6nnHjK6s1bA5xsqfim8KPw,https://yt3.ggpht.com/F2UKYmtOnoXQVTXZEWuzeDowcbaPXah4VQpfPKNb36hXgleE_78vqtm1k7ZDF7zmN0qeCYhtHQ=s88-c-k-c0x00ffffff-no-rj,아니 이렇게 키라키라한데 안좋아 할 수가 있냐고~~,3,0,2026-08-21 09:00:00,False
Ugw0semdGp5stsJkrh54AaABAg,@사과최,UCui8viYKn7YN_pzJ2fw4yIg,https://yt3.ggpht.com/ytc/AIdro_ng3vdmQ70ckkEDn8ODXy01T1k4iclHBSOBC5Qal-YxKcB6AAI=s88-c-k-c0x00ffffff-no-rj,경상도 사람으로서 보니까 미나미가 전화 하고 있는줄 알고 애들이 피해준거 같은데요ㅋㅋㅋㅋㅋㅋㅋㅋ,3,0,2026-08-21 09:00:00,False
Ugy6yy3PlYBux_6b2zt4AaABAg,@choe1733,UCM2tTZ5v7votCC1BxsTww4w,https://yt3.ggpht.com/ytc/AIdro_mUSoo_m2ZSVNaFKdLOlAr1GmBePaAQw90LKRMUr1o=s88-c-k-c0x00ffffff-no-rj,중2 딸이 아빠는 늙크크자나 하길래 거제 야호 보여 줬더니 오~영크크네 이럼 ㅋㅋ,3,0,2026-08-20 09:00:00,False
UgxaL1TEUkJfNvo60yh4AaABAg,@Rehjk-n4d,UCmYzcf-vRD2vGPiB_BbENhw,https://yt3.ggpht.com/mCdJtNKdqbaYPCbahqpp3bLL_F96y8r0owELjqgPa_AKHFgRHgi9GmcIfO0WChSI6535stuPoM0=s88-c-k-c0x00ffffff-no-rj,"리마인들아! 니들 리센느 미방분 더 보고 싶지!   Kbs pd가 ❤""""마이트립 여름휴가 2편"""""" (검색) ❤100만 달성하면, 미방분 푼다고 공언했다...리마인들 빨리가서 한번씩 더 봐주라🎉현재 87만회이다.. kbs는 특히 저 pd니무는 리센느가 무명시절에도 꾸준히 영상 만들어 줬다",3,0,2026-08-19 09:00:00,False
UgzWLhjNdVD2m0c77nt4AaABAg,@cys1358,UCd3ADU7ZakEMiaoN0y10Cmg,https://yt3.ggpht.com/4IGQN_Ezv4j6h1LxG2pNv_7W2Dvw5I8tDhXue39Ugrl-au531ZMYDWSWDy4OEO_yQb7PUAhMqw=s88-c-k-c0x00ffffff-no-rj,사람들이 원이 / 미나미를 좋아하는 이유를 알 수 있게 해주는 영상^^,3,0,2026-08-19 09:00:00,False
Ugy3ZycKybVzr6GcRNV4AaABAg,@______-__-_______,UCEx6HM1gDHR0bLlXkuZWOCA,https://yt3.ggpht.com/ytc/AIdro_kKKKBiJm7k-vjQ4ycTCmlEQfsVxqmeAcj3kOBr6HHoUIo=s88-c-k-c0x00ffffff-no-rj,21:53~21:56 여기 미나미 너무 예쁨 진짜..,3,0,2026-08-19 09:00:00,False
Ugy4TtkITTyxA4m8nHh4AaABAg,@테베의교차로,UCxhsBtkDloCVmQsRnoXBkNQ,https://yt3.ggpht.com/ZV2G6MRxFUThALAA5YzW34pP5gbA1YNViozY-iHMPr01l07dO66ctvr8E9tMK4Bw6JhuuhUTFA=s88-c-k-c0x00ffffff-no-rj,<아모르파티> 편도 천만 가자,3,0,2026-08-19 09:00:00,False
UgxmabNJMnh3RooO13h4AaABAg,@뭐가문제야쎄이썸띵,UCYsvGLJWC-hmCLcsQKLn9EA,https://yt3.ggpht.com/ytc/AIdro_nQBcXV6_e_nMBKjywsNpYSgxhDPfJp_vni_rsbUiM=s88-c-k-c0x00ffffff-no-rj,"엊그제 친구들 모임이 있었는데... 르센느 이야기들 하길레.. 나도 아는 척 했는데...
궁금햇서 유튭 들어가 찾아보다 여기까지 왔네요..
내 나이 50 넘어서 아이돌 팬이 될 줄은 상상도 안해 봤느데.....
어이쿠야!!!!.... 오늘부터 팬입니다.......",3,0,2026-08-18 09:00:00,False
Ugx_tHynGRyIPmDQEWl4AaABAg,@홀리몰리-x3v,UCyzUnejvH8yv2YBpoIssH8w,https://yt3.ggpht.com/E8Fzp4wH41CpCZYIGB8nvJUqbPSHYjYuHOZEr3_I6I8TQzV6MmRCFSxpP0zOJwy6lCYQJY9sTg=s88-c-k-c0x00ffffff-no-rj,스토리 무쳤노,2,0,2026-08-22 17:00:00,False
UgwWtUgXqOUaFXWdjeB4AaABAg,@whyreaper,UCU38PAnijlwVmj8l4KOxZTQ,https://yt3.ggpht.com/jGgzSq-sQYJj5vIMP51yACoLdLtcEarp7_bXmKKKW2ICmif1MbtGJ9QB7hRoI_CjNB6wy_T5pAs=s88-c-k-c0x00ffffff-no-rj,09:03 진짜 벽느껴지네 유튜브 재능 넘사다.,2,0,2026-08-22 14:00:00,False
UgzgNFzxMuHgcNlNtCB4AaABAg,@gaostyle,UCBqc1VDwRF_OUTY06ZCCHfg,https://yt3.ggpht.com/bBn73n2EcYV-4-22ZeSrS7xuW4lWlti0tLLW9X2BB5xUKGZrW-g0b_Redq5ghQ0dd8tBuwSG0ec=s88-c-k-c0x00ffffff-no-rj,15:25 이때도 누구게? 했네 ㅋㅋㅋ,2,0,2026-08-22 13:00:00,False
UgxiyVyKPyuN7fikV-R4AaABAg,@jaypark1724,UCr37BKuABS74dNo3mOThrbQ,https://yt3.ggpht.com/ytc/AIdro_mzPnj06NocLfLtcJrVx3iJYfcZm5G5RDE6tjndewK8mg=s88-c-k-c0x00ffffff-no-rj,6월이 이정도인데 8월엔.전국을 들었다놨다하네요 참고로 여긴 미국,2,0,2026-08-22 09:00:00,False
UgzmykbkLlQbuxt0F3l4AaABAg,@David_KIM_inKorea,UCeVgyvM-LLHVRl-JJVcb4yw,https://yt3.ggpht.com/aN1UuSmylLPh05TOrqUCjWr1GRvgNQfkFK-227U_Z3Y3ZDYZX3EKSn1t_addqwFintqWRlbZ=s88-c-k-c0x00ffffff-no-rj,멋지다 몇번이고 다시보고싶다😊,2,0,2026-08-22 09:00:00,False
UgxPRiCC-95UCmnro-B4AaABAg,@CHLOE-ul2se,UCSVU8eegw2t7v-UE0UHhDEQ,https://yt3.ggpht.com/ytc/AIdro_mIwmOWixO3beIzPS1KrkOcL7bCtFf4JjSrxK3XBh3w8AGlMUaGWuQGy0UKisQHftHW9Q=s88-c-k-c0x00ffffff-no-rj,학교에서 미나미 일부러 멀리서 원이 띄워주는거같네,2,0,2026-08-22 09:00:00,False
UgzzGnal0yA4dX2eMgh4AaABAg,@애옹이-l3p,UC7QR1B5Hb7_dUOvCmglI_dw,https://yt3.ggpht.com/ytc/AIdro_l0exfgiJAdUTGqA3dUT8m0Je9U8jVhNdA5YLhv97byjIhU=s88-c-k-c0x00ffffff-no-rj,한화가 먹었어ㅋㅋㅋ,2,0,2026-08-21 09:00:00,False
UgzzdYymbUK75HifKwt4AaABAg,@ayk7581,UCcJCrMWF8R3FTdf-jj-S5qQ,https://yt3.ggpht.com/ytc/AIdro_kqrwv7HLibhjHSofbIZloW2ocJcBW8J9k1WWpXtnjegfw=s88-c-k-c0x00ffffff-no-rj,러블리하고 구엽고 난리낫네 ㅋㅋㅋㅋㅋ,2,0,2026-08-21 09:00:00,False
UgzweUak-p-N-LRai1B4AaABAg,@김동주-n9i,UCPV5dZIdyLNka_gQwgM1Cqw,https://yt3.ggpht.com/_XoRRQ1SjFIIJADZDpJkendd71DJZdwVktlzxOw53JxFp6_wmFAOsuxcmd3SKeu_FqJ5Y6pn6Zg=s88-c-k-c0x00ffffff-no-rj,앞으로 걸그룹 컨셉이 많이 바뀌겠군,2,0,2026-08-21 09:00:00,False
UgwgP2smTd1hm1zUW6h4AaABAg,@HK_Kim-c1v,UCFxGIh1X3-rrEwqnzssrekg,https://yt3.ggpht.com/ytc/AIdro_n17eVS6yOwSEgbNTgXc4n9JeOKRE9MMEESD8Bfcg_tgLUU3ZPzBmNs64A-tbv0zyDUoA=s88-c-k-c0x00ffffff-no-rj,"나는 진짜 원이 명품가방 안들고 운동복 입고 털털한 저 모습,

진짜 명품들고 자랑 하는 걸그룹 보다 100배 1000배 10,000배 더 이쁘다...

하 너무 좋아서 미치겠다... 

살면서 처음으로 아이돌 좋아하게 되었다... 

리센느 제발 빌보드로 가자!!!",2,0,2026-08-21 09:00:00,False
Ugxpp9HkCeC9DBsG8s54AaABAg,@GODK77,UCgoeJlQe_WpgyR4gmBNuzlQ,https://yt3.ggpht.com/ytc/AIdro_lWIDX99dr0mI9m5VA_4pRAG4TPoR61m-T3ctn7uMZYp2Q=s88-c-k-c0x00ffffff-no-rj,마지막 부분은 다시 봐도 감동적이네,2,0,2026-08-21 09:00:00,False
UgxGcYSKNed8Z8k-UEp4AaABAg,@Changyongsu,UCElAGyRhmErT_eS0GcfgaCw,https://yt3.ggpht.com/Wi87xBqLYbiImxfUe4gHGl8cE-lrVQwYwICUU7uqjyUulBdSV1Zx8NReOnRvZFlNH1hLc8PIow=s88-c-k-c0x00ffffff-no-rj,귀여운 데스,2,0,2026-08-20 09:00:00,False
Ugxl-BSqx5V23LasF4J4AaABAg,@Changyongsu,UCElAGyRhmErT_eS0GcfgaCw,https://yt3.ggpht.com/Wi87xBqLYbiImxfUe4gHGl8cE-lrVQwYwICUU7uqjyUulBdSV1Zx8NReOnRvZFlNH1hLc8PIow=s88-c-k-c0x00ffffff-no-rj,무리데스,2,0,2026-08-20 09:00:00,False
UgxltBrqITAMN1MzRQt4AaABAg,@김정호-e3p,UCxG4Ds20gxYtpwLLBCo98mA,https://yt3.ggpht.com/W_5VyZRmlW0bNqnYLmP9ZSrR-ZwpdcD6juDzVJDZEbS2RcAHNpiSk3cUi_3sqE5UIAN3Kw2C8w=s88-c-k-c0x00ffffff-no-rj,한화 가 대우 를. 먹었대  ㅡ원이가 ㅡ😂😅😮😅😂ㅡ맛는 말이네ㅡ농대 이.  마이 친네 ㅡ원이ㅡㅋ크,2,0,2026-08-20 09:00:00,False
UgxLcSf4PGMC90jl1hx4AaABAg,@watercat1490,UCuXSoUXgszDED55uuhn6E_w,https://yt3.ggpht.com/ytc/AIdro_kLJKeYqDTS1JO3Ngl2pJx4FOOc2KLOaFyJzbO7dqCS4v4=s88-c-k-c0x00ffffff-no-rj,"두달 지난 지금은...이제 저렇게 못 돌아다닌다는게 포인트.
이쯤 되면 김연자 샘도 한번 나올만...ㅋ  일본과 한국에서 활동하면서 인기가 많았기에...좋은 콜라보...아모르 파티~",2,0,2026-08-20 09:00:00,False
UgytP2WAgxEnW4rOzbh4AaABAg,@i_ttongo,UCEx8j2Dz1rjUQWGsKnCeJPw,https://yt3.ggpht.com/j-FN--4j_9ioPibYOX23-NjmPREFPul_auCVi_ZtAuKdjVRX7lAcNWQkngaO3dx2U6YKNYYZ=s88-c-k-c0x00ffffff-no-rj,20:51 거제 불주먹,2,0,2026-08-19 09:00:00,False
UgydSingsbTK2nA1GYl4AaABAg,@블링크-n8d,UCaGng_Ur5-neCylq8GL_3Mg,https://yt3.ggpht.com/emJs7QHDO1HPemC9iiPfLzWTeGGlwr_WQJfOTQt3C_m30N1_1ciePD4FEHiaI2TNOIvT_-OnDg=s88-c-k-c0x00ffffff-no-rj,원이야 부산 대연 와주라 ㅠㅠ,2,0,2026-08-19 09:00:00,False
UgwUatoT4rzU5pvxIjN4AaABAg,@parisjapan,UC40lihQzL25xovn24aoXHcg,https://yt3.ggpht.com/ytc/AIdro_l3Bz6doyOqmxnbxC7YTPEYDkB4EqydIAMsbEUjvC3cQlxG46o=s88-c-k-c0x00ffffff-no-rj,웅장하다! 왠만한 영화 한 편 본 느낌,2,0,2026-08-19 09:00:00,False
UgzNU71J5t-J-l0wTyp4AaABAg,@tiranium1,UC2p1UrAy7iW_k6xYyT_tWRg,https://yt3.ggpht.com/ytc/AIdro_n3mrqNOXqr_ofUoah6i5ZYpkLh94ICQiWDUDho-Q3Ojajs=s88-c-k-c0x00ffffff-no-rj,5:13 10번즘 다시보는 중인데.. 오늘 보다보니 왜 원이 중학교졸업사진 좌우명이 임전무퇴인지 깨달았네요😄 무릎을 탁 치고 갑니다👌,2,0,2026-08-19 09:00:00,False
UgzGxTxTHEOtTumv4EN4AaABAg,@명당월드,UCO3KKbTV6HTswvMc_SeqhQw,https://yt3.ggpht.com/eixT_232DSZIQFfZ8RxTMRmrkCChFbr7Iba4z7ysvoFEkdFVtS5DeBpEmK_0Gv3N3c1fYD2cXko=s88-c-k-c0x00ffffff-no-rj,진짜 무해하다 (무)야호~~~,2,0,2026-08-19 09:00:00,False
Ugwdwxd8sLA6OHjQBhV4AaABAg,@baribari7542,UC0O7u_0qBDZrsG0k7hepdmg,https://yt3.ggpht.com/CgbEa456Ct4xeNrA1tTrehKV29-D0AGjNAK_RLyQSAMeI_dfLIO-WIiSxwlkEybAKawzCbiKqA=s88-c-k-c0x00ffffff-no-rj,Pd가 완전 대세가 되버림,2,0,2026-08-19 09:00:00,False
UgxriUDMNk3xjVwhKCZ4AaABAg,@김탐9,UCP--Yms4v3fXsjqIoJKnNCA,https://yt3.ggpht.com/3RVt5tGTAom-d081Fi_HLHkq0PWr3M5-I3vQHYYfTdTKZeNp0vR49rYuiB3GH865UJ7cT5QRmH0=s88-c-k-c0x00ffffff-no-rj,일본인한테 축협 농협 하는데 알아듣는게 신기하네 ㅋㅋㅋㅋ,2,0,2026-08-18 09:00:00,False
UgwAUaPcbziX1Z7nOlN4AaABAg,@kupsir-snulaw,UCK0KfsMkFXpIu3zRIWQcgew,https://yt3.ggpht.com/ytc/AIdro_nDuuzxpPgN1x_m8KKIHiQdZriJxbT5D-j2orXJoyw=s88-c-k-c0x00ffffff-no-rj,9:50 여기서부터 미나미 계속 뭐라뭐라 열심히 멘트치는데ㅋㅋㅋㅋ 미방분으로 뭐라 했는지 풀어줬으면 좋겠다,2,0,2026-08-18 09:00:00,False
Ugzx1-VhxNW6j4kjab94AaABAg,@user-ss9dl3qt2l,UC84EUaF8Wf2P9LSfeJBrbAA,https://yt3.ggpht.com/ytc/AIdro_mJ1EQ4JKiO4PIx8OkNb984B7Wshr3HIabQGaQxdht7laQ=s88-c-k-c0x00ffffff-no-rj,"""대우조선이었는데 한화가 먹었다"" 시사를 정확히 꿰뚫고 있는 원이",2,0,2026-08-18 09:00:00,False
Ugyha8p_QXdo6lMye_p4AaABAg,@지닌-k5l,UCMQXHq3hIFZqPihV-SQ9hGQ,https://yt3.ggpht.com/ytc/AIdro_kSgzsn-PaGdvyWXb6AMhFa1gscZpG84RXiatevNLqmSu1hqWQ=s88-c-k-c0x00ffffff-no-rj,"거제 1편보다 2편이 찐인데 ㅠㅠ 조회수가 그거보다 안나오네 ...
여운이 있다 ㅠㅠ 3번보는중 ...",2,0,2026-08-18 09:00:00,False
