id,author,author_id,author_thumbnail,text,like_count,reply_count,date,is_favorited
UgwsMpXh3MtnkNqZyLJ4AaABAg,@Monsterlab_k,UCiHJKtLc7Vu4oEv5IhFSNdA,https://yt3.ggpht.com/1zDwcUqdquHhthMhHLtswch1Wd_Qli8wgPGavgk5_nJDdVpIBalMT9zVJEDoOgz-M31Xw3TRAOA=s88-c-k-c0x00ffffff-no-rj,"📺예정된 시간보다 조금 빨리 업로드 하였습니다 🙏🙏
영상 속 SCP에 대한 관련 이야기
- SCP-049 [역병 의사] / [03:55]
https://www.youtube.com/watch?v=ca49xOubdys&t=87s
- SCP-701 [목매달린 왕의 비극] / [23:29}
https://www.youtube.com/watch?v=tlgtFsZ3-vQ&t=471s

부디 재밌게 즐겨주시면 감사하겠습니다
언제나 지켜봐주셔서 정말 감사합니다",280,0,2026-04-23 09:00:00,False
UgyYbSfOa9omsHkbc_t4AaABAg,@yungcho6637,UC1J5s2fHC1ncPcz4s-Jo_Uw,https://yt3.ggpht.com/ytc/AIdro_khI__jSWMpIF7Bjx96atY8DYlol3aQvV8w-iX5FFYEB7vRhG2u36tx40rADKGEQHqJEA=s88-c-k-c0x00ffffff-no-rj,이게 씹띵작임 ㄹㅇ,3,0,2026-07-23 09:00:00,False
UgwEsWpy-g0Up1jtxlB4AaABAg,@김민,UC9nsRNu6NGIjXQF46G81tvQ,https://yt3.ggpht.com/ytc/AIdro_n3hhnzSnevmiY5UwvpcSOvFfY4imFQDAJcvyyQnaa1dQ=s88-c-k-c0x00ffffff-no-rj,이키스 목소리 모델 너무 궁금해요 ㅠㅠ 너무 좋음,2,0,2026-07-23 09:00:00,False
Ugw8eQcxck8BYZN1kgZ4AaABAg,@김땅비-n6j,UCHpINZihzsVLZkBT8DFnRPw,https://yt3.ggpht.com/iWK0kT5O_mkX9vQ3D_VxhD7NnD-VrpnstZYDamkMIu5SduPkTxS4mtN9Mp5sKP2RiUpWV-uRSzE=s88-c-k-c0x00ffffff-no-rj,와..  이영상은 영상미가 그냥 예술이네  진짜 예술작품 본느낌,2,0,2026-06-23 09:00:00,False
UgwHjOXzypzfaMVKEgl4AaABAg,@정훈윤-z7l,UCXQ0cF5Es2b7cmpP-BA3Q2g,https://yt3.ggpht.com/ytc/AIdro_kl5DflvSAt5cCateTrSwaLn4GBN9r6Kpu3KbWBVHt3T53dfl0=s88-c-k-c0x00ffffff-no-rj,알라가다에 간다면  마치 썩은 곰팡이 가득한  오래되고 낡은  소설책 속에 갇힌 느낌일거 같다,2,0,2026-06-23 09:00:00,False
Ugxy7fUygG1MKFKlbgJ4AaABAg,@yoy6256,UClYjVOKvpsto8I0O0kBJ0ag,https://yt3.ggpht.com/ytc/AIdro_l8bJjN8f5iw51sq7OBYWTCY3nsVjXP-QAVn96d-rY9l5KbJzFdR6s233AhOIGtTed1wA=s88-c-k-c0x00ffffff-no-rj,이키스 성우분 누구신가요? ㄹㅇ 역대급목소리신데,2,0,2026-06-23 09:00:00,False
Ugyw6hemDRpeaIj5tVZ4AaABAg,@정상원-h7w,UC6VIalNvUpdz6VlgXECk1IA,https://yt3.ggpht.com/ytc/AIdro_nX4HfiXY6W7mAzsZPP4xrRi4LVwy3DxJ8n5bP9lQBRqqbrj1s=s88-c-k-c0x00ffffff-no-rj,AI의 범주를 벗어났네요. 완벽합니다,2,0,2026-06-23 09:00:00,False
UgyW7HP61zOp1p95zAt4AaABAg,@야야7,UC7kXEzQKonreD1B1cYcZuxA,https://yt3.ggpht.com/ytc/AIdro_n9Ih3A5w5IBf46kuJetQOR2_hikZZw_D7JD7H7ZZf5OhY=s88-c-k-c0x00ffffff-no-rj,"와 진짜 내 취향이다... 맨날 나폴리탄, 방명록 괴담 이런거만 주구장창 찾아보고 있었는데 드디어.. 기대를 충족하는 영상을 발견했슴니다..... 최고",2,0,2026-05-23 09:00:00,False
Ugwa_U8JIIr93LdOkJ94AaABAg,@Unicong,UCtbJUuISRXAjIAgCUZ8dkWg,https://yt3.ggpht.com/ytc/AIdro_nAzsJz18Vfhji1vqoAE21M__gaPwmzFYc1OTqackluyyU=s88-c-k-c0x00ffffff-no-rj,진짜 알라가다편은 예술이네 ..,2,0,2026-05-23 09:00:00,False
UgxTaJKTHjY9mLZxbS54AaABAg,@alberto-m2d4m,UCfr0cGXvn1kqCL80c8bUKDw,https://yt3.ggpht.com/z37A-mVs4WC160xGJ_k79NpEpICh2Sb6A0Ekmvlp0qzbbUVfp2LkaAIiIw2xooBZQvJ0EAzZ8Q=s88-c-k-c0x00ffffff-no-rj,영상미 진짜 예쁘다...,1,0,2026-08-21 09:00:00,False
UgxMk1X4YVQb0BlWHPF4AaABAg,@user-bacasDF,UC5ua18cxef2341Fh5zPuToQ,https://yt3.ggpht.com/ytc/AIdro_moV1xAy8YxyvmATmfJye_D2za9B_pyTnBLq8onTA=s88-c-k-c0x00ffffff-no-rj,"진짜ai라는 기술이 알라가다에서 온거아닌가 싶을정도로 찰떡임

손가락6개여도 이해된다고...",1,0,2026-08-20 09:00:00,False
UgxRSdaiFtwUJGmy9Ap4AaABAg,@플라맹고-b6o,UC0yV9IvRlE8szSsfnPlfloQ,https://yt3.ggpht.com/VBZZ_fVLBrTNbcSSCiBXFpuJX8TOddFBxru2HvXHBmzDOMZKtM3354ccFiEgUL6S0_QvFI3f=s88-c-k-c0x00ffffff-no-rj,이건 진짜 영상미가 지리네요,1,0,2026-08-15 09:00:00,False
Ugy1tZ_6RjM33PGTrll4AaABAg,@user-lonestrider,UCLWowb0uBmAizMsk3_fh9og,https://yt3.ggpht.com/ytc/AIdro_kBZyti_EdG7Z2tPURAhtvZcDEoq73Vm0cSpJGX4RcB-exQUY_LOdwIilGHZgafdKmRUA=s88-c-k-c0x00ffffff-no-rj,배경음악도 너무 잘 어울려요! 음원만 따로 계속 듣고싶네요,1,0,2026-08-15 09:00:00,False
UgwQRZTixwVowt8ljbF4AaABAg,@hun-nx2vm,UCMtmhc484s3Tn2_9fBhv_nA,https://yt3.ggpht.com/ytc/AIdro_md5qYQnpwKbDcxHTdMG2zhXe1GbATSYBGmdJiMuO1N2L6lIeC8v1Efuu-zcc-_ytvViw=s88-c-k-c0x00ffffff-no-rj,Scp재단 이재명을 멈춰줘,1,0,2026-08-02 09:00:00,False
UgxwbHH2qDE0HxXv89t4AaABAg,@키킼나나,UC6D3kFqaZpWQDFjDM2y56TA,https://yt3.ggpht.com/ytc/AIdro_nYf1OpQgP8rvCNC1d-P-de34wbbilZzk5VbBOPXoDjbZkztQU90ZRPZG_7nzpQFsTa7bbIQvMZ=s88-c-k-c0x00ffffff-no-rj,마지막에 까마귀가 열쇠를 인간들한테 전달해서 인간계에 연극을 퍼뜨렸다는건데.. 자아를 잃는 대원들이 줄어들어 빼앗은 영혼양이 줄어들으니 연극으로 섭취?하는건가.. 그나저나 연출 진짜 대박이시네요.. 영상쪽으로 제대로 전공하신 분일듯ㄷㄷ,1,0,2026-08-02 09:00:00,False
UgyJaSGo0IQZOwV3A8V4AaABAg,@키킼나나,UC6D3kFqaZpWQDFjDM2y56TA,https://yt3.ggpht.com/ytc/AIdro_nYf1OpQgP8rvCNC1d-P-de34wbbilZzk5VbBOPXoDjbZkztQU90ZRPZG_7nzpQFsTa7bbIQvMZ=s88-c-k-c0x00ffffff-no-rj,"ai로 시각적인 면에서 사실적으로 표현하는 영상은 꽤 봤는데, 대사 톤이나 발음마저 단순히 읽는게 아니라 명배우가 영화에서 보여주는 수준으로 만든 영상은 처음봄ㄷㄷㄷ",1,0,2026-08-02 09:00:00,False
UgxBQS7RL5bqPIlEN4N4AaABAg,@lmc65,UCfXCfauc5CYNt_LeUdtF-XQ,https://yt3.ggpht.com/S2ftyf2xxT-AKc9eo36bxcnZuKSj-79aLkWF3bgC7fLVhSlDw4ViQHd4jrvMRVCMqLEKEgxGxQ=s88-c-k-c0x00ffffff-no-rj,이 영상은 이 분 최고의 작품인듯.. BGM이 주는 기괴함도 걸작임,1,0,2026-07-23 09:00:00,False
UgyrRBgTMtD5-FdJA254AaABAg,@딩딩-t7n,UCUfG1xalScMWZQojm4A6YBw,https://yt3.ggpht.com/RiAQ8GZriSzC_rJJZMxlL41FM-7Zk9lgZVVjQzDmIa1tiSuCPE3jucXf39OApyOHgDQNqmLYyw=s88-c-k-c0x00ffffff-no-rj,알라가다라는 이름이 권사의 책을통해 인간한테 전달되서 인간이 인식을 해버리는바람에 대사가 지구 좌표를 알수있던건가요 아니면 책자체가 알라가다에서 교환되서 gps개념으로 위치추적이 된건가요 초반에 나왔던 니가 왕한테 관심가지면 왕도 지구에 관심을 가진다라는 대사로볼때 전자같은데,1,0,2026-07-23 09:00:00,False
Ugze2bI-Yn5gLjPyaHJ4AaABAg,@sac-8657,UCLNI9jhIKrDDJx9qlP2uw9Q,https://yt3.ggpht.com/O8iWpx_0aqNkOIg6yepS83dULVXMvDUmdmCpm72MJD5mm7TaaC7EQno4dsaeUu6qecspnqceMqQ=s88-c-k-c0x00ffffff-no-rj,진짜 봐도봐도 감탄이 나온다. 오히려 이 기괴하고 기묘한 분위기 덕에 AI의 어색한 일부분이 더 잘 어울리는 것 같아보이기까지 하네..,1,0,2026-07-23 09:00:00,False
